trend_id,category_id,trenddate,trenddescription,trendvalue,trendcategory,trendduration,trendimpact,trendvolatility,trendrecommendation,trendstatus
1,101,2023-04-01,Rising demand for eco-friendly products,12.5%,Sustainability,6 months,High,Moderate,Buy,Active
2,205,2023-05-15,Emerging trend in smart home technology,8.2%,Technology,1 year,High,High,Hold,Active
3,302,2023-02-28,Shift towards online shopping,17.3%,E-commerce,9 months,High,High,Buy,Active
4,401,2023-06-10,Increased interest in health and wellness products,6.9%,Healthcare,3 months,Moderate,Low,Hold,Active
5,102,2023-01-20,Growing popularity of plant-based diets,11.4%,Food & Beverage,1 year,High,Moderate,Buy,Active
6,206,2023-03-31,Surge in demand for 5G-enabled devices,9.7%,Technology,6 months,High,High,Buy,Active
7,303,2023-04-25,Rise in remote work and virtual collaboration,14.2%,Software,1 year,High,High,Buy,Active
8,402,2023-05-01,Increasing focus on mental health and wellness,7.3%,Healthcare,6 months,Moderate,Moderate,Hold,Active
9,103,2023-02-15,Trend towards minimalist and sustainable fashion,10.1%,Retail,9 months,Moderate,Moderate,Hold,Active
10,207,2023-06-01,Growing popularity of cloud computing services,8.5%,Technology,1 year,High,High,Buy,Active
11,304,2023-03-20,Rise in demand for electric vehicles,15.6%,Automotive,1 year,High,High,Buy,Active
12,403,2023-04-18,Increased focus on personalized and preventive healthcare,6.8%,Healthcare,6 months,Moderate,Moderate,Hold,Active
13,104,2023-01-10,Trend towards local and artisanal food products,12.2%,Food & Beverage,1 year,Moderate,Moderate,Buy,Active
14,208,2023-05-05,Emerging technologies in the fintech industry,9.1%,Finance,9 months,High,High,Buy,Active
15,305,2023-02-22,Rise in demand for sustainable and eco-friendly construction materials,13.8%,Construction,1 year,High,Moderate,Buy,Active
16,404,2023-06-15,Increasing popularity of telemedicine and virtual healthcare consultations,7.5%,Healthcare,6 months,Moderate,High,Hold,Active
17,105,2023-03-01,Trend towards natural and organic personal care products,11.6%,Retail,9 months,Moderate,Moderate,Buy,Active
18,209,2023-04-12,Growing adoption of blockchain technology,8.9%,Finance,1 year,High,High,Buy,Active
19,306,2023-05-30,Rise in demand for smart home automation solutions,14.3%,Technology,1 year,High,High,Buy,Active
20,405,2023-01-05,Increased focus on preventive and holistic healthcare approaches,6.4%,Healthcare,6 months,Moderate,Moderate,Hold,Active
21,106,2023-06-20,Growing demand for plant-based meat alternatives,9.8%,Food & Beverage,1 year,Moderate,Moderate,Buy,Active
22,210,2023-02-01,Emerging trends in decentralized finance (DeFi),11.2%,Finance,9 months,High,High,Buy,Active
23,307,2023-04-08,Rise in popularity of online fitness and wellness programs,12.6%,Retail,6 months,Moderate,Moderate,Buy,Active
24,406,2023-05-15,Increased focus on mental health and work-life balance,8.3%,Healthcare,1 year,High,Moderate,Hold,Active
25,107,2023-01-15,Trend towards sustainable and ethical fashion,10.5%,Retail,1 year,Moderate,Moderate,Buy,Active
26,211,2023-03-22,Growing adoption of artificial intelligence in business operations,13.1%,Technology,1 year,High,High,Buy,Active
