WebsiteAccessCategoryID,CategoryName,CategoryDescription,CategoryType,CategoryParent,CategoryVisits,CategoryConversionRate,CategoryRevenue,CategoryReferralSource,CategoryPageViews,CategoryStatus
1,Home Page,Main entry point for website,Home,NULL,250000,0.12,50000.00,Direct,1000000,Active
2,Product Catalog,Browse and search product offerings,Product,NULL,175000,0.18,87500.00,Referral,750000,Active
3,Shopping Cart,Manage items in shopping cart,Checkout,NULL,90000,0.25,45000.00,Direct,400000,Active
4,Checkout Process,Complete purchase transaction,Checkout,NULL,65000,0.30,39000.00,Direct,300000,Active
5,Account Management,Manage user account settings,Account,NULL,45000,0.22,19800.00,Direct,200000,Active
6,Help & Support,Access customer support resources,Support,NULL,35000,0.15,10500.00,Referral,150000,Active
7,Blog,Read articles and blog posts,Content,NULL,25000,0.14,6250.00,Referral,120000,Active
8,About Us,Learn about the company and team,Information,NULL,20000,0.08,3200.00,Direct,100000,Active
9,Contact Us,Submit inquiries and feedback,Support,NULL,15000,0.18,5400.00,Referral,75000,Active
10,Promotions,View current sales and offers,Product,NULL,30000,0.20,12000.00,Direct,140000,Active
11,Privacy Policy,Review website privacy information,Information,NULL,10000,0.05,1000.00,Direct,50000,Active
12,Terms of Service,Understand website usage policies,Information,NULL,8000,0.07,1120.00,Direct,40000,Active
13,Site Map,Navigate website structure,Information,NULL,12000,0.09,2160.00,Referral,60000,Active
14,Career Opportunities,View available job openings,Information,NULL,5000,0.10,1000.00,Referral,25000,Active
15,Press Room,Read company news and press releases,Information,NULL,6000,0.06,720.00,Referral,30000,Active
16,Community Forum,Participate in discussions,Support,NULL,18000,0.12,4320.00,Referral,90000,Active
17,Product Reviews,Read customer reviews,Product,NULL,35000,0.16,11200.00,Referral,160000,Active
18,Loyalty Program,Enroll and manage loyalty accounts,Account,NULL,22000,0.25,11000.00,Direct,110000,Active
19,Gift Cards,Purchase and redeem gift cards,Product,NULL,15000,0.18,5400.00,Direct,75000,Active
20,Return Policy,Review website return policy,Information,NULL,8000,0.07,1120.00,Direct,40000,Active
21,Seasonal Promotions,Seasonal sales and discounts,Product,NULL,40000,0.22,17600.00,Direct,180000,Active
22,Clearance Items,Discounted or discontinued products,Product,NULL,25000,0.18,9000.00,Referral,120000,Active
23,New Arrivals,Recently added products,Product,NULL,35000,0.20,14000.00,Direct,160000,Active
24,Top Sellers,Most popular and best-selling products,Product,NULL,45000,0.24,21600.00,Referral,200000,Active
25,Customer Reviews,Read and write product reviews,Product,NULL,30000,0.16,9600.00,Referral,140000,Active
26,Shipping Info,Review shipping policies and options,Support,NULL,20000,0.13,5200.00,Direct,100000,Active
27,Returns & Exchanges,Process returns and exchanges,Support,NULL,15000,0.15,4500.00,Referral,75000,Active
28,Order Tracking,Track the status of placed orders,Account,NULL,25000,0.22,11000.00,Direct,120000,Active
29,Wish List,Create and manage personal wish lists,Account,NULL,18000,0.18,6480.00,Referral,90000,Active
30,Gift Registry,Create and manage gift registries,Account,NULL,12000,0.20,4800.00,Referral,60000,Active
31,Financing Options,Review available payment plans,Checkout,NULL,10000,0.25,5000.00,Direct,50000,Active
32,Bulk Orders,Purchase products in bulk quantities,Product,NULL,8000,0.19,3040.00,Referral,40000,Active
33,Corporate Accounts,Manage business/enterprise accounts,Account,NULL,6000,0.22,2640.00,Direct,30000,Active
34,Brand Stores,Dedicated brand-specific storefronts,Product,NULL,15000,0.18,5400.00,Referral,75000,Active
35,Subscription Services,Enroll in recurring product/service plans,Product,NULL,12000,0.24,5760.00,Direct,60000,Active
36,Influencer Program,Apply to become an affiliate/influencer,Information,NULL,8000,0.12,1920.00,Referral,40000,Active
37,Recruitment,Apply for open job positions,Information,NULL,6000,0.14,1680.00,Referral,30000,Active
38,Media Inquiries,Contact the press/media team,Support,NULL,4000,0.10,800.00,Direct,20000,Active
39,Investor Relations,Access financial/company information,Information,NULL,3000,0.08,480.00,Referral,15000,Active
40,Site Feedback,Submit feedback about the website,Support,NULL,10000,0.11,2200.00,Direct,50000,Active
41,Featured Products,Highlighted or promoted products,Product,NULL,50000,0.23,23000.00,Direct,225000,Active
42,Sale Items,Products currently on sale,Product,NULL,35000,0.19,12250.00,Referral,160000,Active
43,Trending Now,Most popular products/categories,Product,NULL,45000,0.21,18900.00,Direct,200000,Active
44,Gift Ideas,Suggestions for gift purchases,Product,NULL,30000,0.17,8100.00,Referral,140000,Active
45,Personalized Recommendations,Tailored product suggestions,Product,NULL,25000,0.22,11000.00,Direct,120000,Active
46,Design Services,Custom design and consultation,Service,NULL,15000,0.20,6000.00,Referral,75000,Active
47,Installation Services,Product installation and setup,Service,NULL,12000,0.18,4320.00,Direct,60000,Active
48,Maintenance & Support,Post-purchase assistance,Service,NULL,10000,0.16,3200.00,Referral,50000,Active
49,Replacement Parts,Order replacement product parts,Product,NULL,18000,0.15,5400.00,Direct,90000,Active
50,Refurbished Items,Pre-owned and repaired products,Product,NULL,20000,0.17,6800.00,Referral,100000,Active
51,Subscription Box,Recurring product deliveries,Product,NULL,14000,0.22,6160.00,Direct,70000,Active
52,Extended Warranties,Purchase product protection plans,Product,NULL,12000,0.19,4560.00,Referral,60000,Active
53,Loyalty Rewards,Earn and redeem loyalty points,Account,NULL,16000,0.24,7680.00,Direct,80000,Active
54,Refer-a-Friend,Invite friends to join and earn rewards,Account,NULL,8000,0.18,2880.00,Referral,40000,Active
55,Trade-In Program,Exchange old products for credit,Product,NULL,10000,0.21,4200.00,Direct,50000,Active
56,Financing Calculator,Estimate monthly payments,Checkout,NULL,8000,0.23,3680.00,Referral,40000,Active
57,Gift Card Balance,Check and manage gift card balances,Account,NULL,12000,0.15,3600.00,Direct,60000,Active
58,Subscription Management,Manage recurring product/service plans,Account,NULL,9000,0.20,3600.00,Referral,45000,Active
59,Product Configurator,Customize product features and options,Product,NULL,14000,0.22,6160.00,Direct,70000,Active
60,Sustainability & Environment,Learn about eco-friendly initiatives,Information,NULL,6000,0.12,1440.00,Referral,30000,Active
61,Corporate Social Responsibility,View company's social impact efforts,Information,NULL,5000,0.10,1000.00,Direct,25000,Active
62,Accessibility Features,Explore assistive website features,Information,NULL,4000,0.14,1120.00,Referral,20000,Active
63,Affiliate Program,Join the company's affiliate network,Information,NULL,7000,0.16,2240.00,Direct,35000,Active
64,Wholesale Inquiries,Request wholesale pricing and terms,Product,NULL,6000,0.18,2160.00,Referral,30000,Active
65,Terms of Use Update,Review changes to website policies,Information,NULL,3000,0.08,480.00,Direct,15000,Active
66,Site Search,Utilize the website's search functionality,Information,NULL,20000,0.14,5600.00,Referral,100000,Active
